date,prefecture,gender,age,medical_worker,status,count
2021-04-12,01,F,-64,"false",1,113
2021-04-12,01,F,65-,"false",1,88
2021-04-12,01,M,-64,"false",1,39
2021-04-12,01,M,65-,"false",1,26
2021-04-12,01,U,-64,"false",1,12
2021-04-12,01,U,UNK,"false",1,1
2021-04-12,02,F,-64,"false",1,4
2021-04-12,02,F,65-,"false",1,137
2021-04-12,02,M,-64,"false",1,2
2021-04-12,02,M,65-,"false",1,55
2021-04-12,02,U,UNK,"false",1,7
2021-04-12,03,F,65-,"false",1,23
2021-04-12,03,M,65-,"false",1,27
2021-04-12,04,F,-64,"false",1,1
2021-04-12,05,F,-64,"false",1,13
2021-04-12,05,F,65-,"false",1,4
2021-04-12,05,M,-64,"false",1,3
2021-04-12,06,F,-64,"false",1,10
2021-04-12,06,F,65-,"false",1,23
2021-04-12,06,M,-64,"false",1,3
2021-04-12,06,M,65-,"false",1,16
2021-04-12,06,U,UNK,"false",1,2
2021-04-12,07,F,-64,"false",1,3
2021-04-12,07,F,65-,"false",1,79
2021-04-12,07,M,-64,"false",1,7
2021-04-12,07,M,65-,"false",1,112
2021-04-12,07,U,UNK,"false",1,1
2021-04-12,08,F,-64,"false",1,40
2021-04-12,08,F,65-,"false",1,4
2021-04-12,08,M,-64,"false",1,11
2021-04-12,08,M,65-,"false",1,3
2021-04-12,08,U,UNK,"false",1,6
2021-04-12,09,F,65-,"false",1,6
2021-04-12,09,M,65-,"false",1,4
2021-04-12,10,F,-64,"false",1,9
2021-04-12,10,F,65-,"false",1,45
2021-04-12,10,M,-64,"false",1,4
2021-04-12,10,M,65-,"false",1,24
2021-04-12,10,U,UNK,"false",1,4
2021-04-12,11,F,-64,"false",1,9
2021-04-12,11,F,65-,"false",1,109
2021-04-12,11,M,-64,"false",1,4
2021-04-12,11,M,65-,"false",1,30
2021-04-12,11,U,UNK,"false",1,5
2021-04-12,12,F,-64,"false",1,3
2021-04-12,12,F,65-,"false",1,12
2021-04-12,12,M,-64,"false",1,2
2021-04-12,12,M,65-,"false",1,1
2021-04-12,13,F,-64,"false",1,73
2021-04-12,13,F,65-,"false",1,160
2021-04-12,13,M,-64,"false",1,20
2021-04-12,13,M,65-,"false",1,131
2021-04-12,13,U,UNK,"false",1,4
2021-04-12,14,F,-64,"false",1,29
2021-04-12,14,F,65-,"false",1,92
2021-04-12,14,M,-64,"false",1,22
2021-04-12,14,M,65-,"false",1,44
2021-04-12,14,U,UNK,"false",1,3
2021-04-12,15,F,-64,"false",1,10
2021-04-12,15,F,65-,"false",1,42
2021-04-12,15,M,-64,"false",1,1
2021-04-12,15,M,65-,"false",1,13
2021-04-12,16,F,-64,"false",1,27
2021-04-12,16,F,65-,"false",1,26
2021-04-12,16,M,-64,"false",1,8
2021-04-12,16,M,65-,"false",1,11
2021-04-12,16,U,UNK,"false",1,2
2021-04-12,17,F,-64,"false",1,2
2021-04-12,18,F,-64,"false",1,27
2021-04-12,18,F,65-,"false",1,107
2021-04-12,18,M,-64,"false",1,5
2021-04-12,18,M,65-,"false",1,24
2021-04-12,18,U,UNK,"false",1,3
2021-04-12,20,F,-64,"false",1,1
2021-04-12,20,F,65-,"false",1,2
2021-04-12,20,M,-64,"false",1,1
2021-04-12,20,M,65-,"false",1,3
2021-04-12,20,U,UNK,"false",1,2
2021-04-12,21,F,-64,"false",1,3
2021-04-12,21,F,65-,"false",1,22
2021-04-12,21,M,65-,"false",1,7
2021-04-12,21,U,65-,"false",1,1
2021-04-12,22,F,-64,"false",1,204
2021-04-12,22,F,65-,"false",1,17
